Minutes, Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID
0.021,-1,0,-1,0,-1,92,0
0.042,-1,0,-1,0,-1,93,0
0.063,-1,0,-1,0,-1,92,0
0.084,-1,0,-1,0,-1,93,0
0.105,-1,0,-1,0,-1,94,0
0.126,-1,0,-1,0,-1,95,0
0.147,0,6.071,-1,0.002,0,95,0
0.168,12.315,5.046,51,0.004,45,96,0
0.189,30.958,8.399,214,0.009,53,98,0
0.21,18.191,9.869,147,0.011,43,99,0
0.231,10.169,11.673,97,0.015,42,99,0
0.252,2.599,11.887,25,0.019,50,100,0
0.273,11.75,10.757,104,0.023,58,102,0
0.294,0.226,11.556,2,0.028,0,103,0
0.315,13.445,10.326,114,0.03,56,104,0
0.336,37.85,11.737,365,0.036,53,104,0
0.357,8.926,17.037,125,0.04,103,107,0
0.378,7.005,15.629,90,0.047,141,108,0
0.399,22.032,16.347,296,0.053,84,110,0
0.42,8.022,17.516,115,0.06,64,113,0
0.441,12.767,18.401,193,0.066,63,115,0
0.462,12.428,19.686,201,0.072,66,117,0
0.483,8.022,20.137,133,0.079,65,118,0
0.504,5.762,20.137,95,0.087,68,120,0
0.525,4.858,19.975,80,0.094,67,122,0
0.546,5.31,19.975,87,0.1,68,123,0
0.567,5.31,20.246,88,0.106,68,125,0
0.588,5.084,20.273,85,0.115,69,125,0
0.609,4.858,20.301,81,0.121,68,126,0
0.63,5.423,20.301,90,0.127,70,126,0
0.651,3.277,19.79,53,0.136,68,127,0
0.672,3.503,20.083,58,0.142,69,127,0
0.693,3.39,20.496,57,0.149,73,127,0
0.714,3.277,20.552,55,0.157,73,127,0
0.735,3.503,20.752,60,0.164,75,127,0
0.756,3.728,20.752,64,0.172,70,127,0
0.777,3.503,20.926,60,0.178,69,127,0
0.798,2.712,20.666,46,0.185,69,127,0
0.819,2.712,20.752,46,0.193,87,127,0
0.84,2.599,20.723,44,0.2,73,127,0
0.861,0.452,20.496,8,0.208,0,126,0
0.882,1.582,20.218,26,0.215,122,124,0
0.903,2.26,20.11,37,0.221,84,123,0
0.924,2.034,19.843,33,0.229,90,123,0
0.945,2.034,19.582,33,0.236,68,123,0
0.966,0,20.164,0,0.242,0,123,0
0.987,0,20.328,0,0.249,0,122,0
1.008,4.067,20.273,68,0.257,124,122,0
1.029,0.339,20.58,6,0.264,0,122,0
1.05,0,20.273,0,0.272,0,122,0
1.071,0,20.137,0,0.278,0,121,0
1.092,0,20.273,0,0.285,0,118,0
1.113,0,20.666,0,0.293,0,117,0
1.134,0,20.956,0,0.3,0,116,0
1.155,0,21.015,0,0.308,0,117,0
1.176,0,21.015,0,0.315,0,116,0
1.197,1.582,21.163,27,0.323,152,116,0
1.218,1.13,21.529,20,0.329,85,115,0
1.239,0,21.284,0,0.338,0,115,0
1.26,0,20.985,0,0.344,0,114,0
1.281,0,20.868,0,0.351,0,114,0
1.302,0.452,20.868,8,0.359,0,113,0
1.323,1.921,21.224,33,0.366,124,113,0
1.344,0,21.437,0,0.374,0,113,0
1.365,0,21.284,0,0.38,0,113,0
1.386,0,21.686,0,0.389,0,113,0
1.407,0,21.844,0,0.397,0,109,0
1.428,0,21.844,0,0.404,0,107,0
1.449,0,21.94,0,0.412,0,104,0
1.47,0,21.973,0,0.419,0,103,0
1.491,0,21.654,0,0.427,0,102,0
1.512,0,20.897,0,0.433,0,101,0
1.533,0,21.193,0,0.442,0,101,0
1.554,0,20.897,0,0.448,0,102,0
1.575,0,20.666,0,0.457,0,102,0
1.596,0,20.468,0,0.463,0,102,0
1.617,0,20.468,0,0.47,0,102,0
1.638,0,19.18,0,0.478,0,103,0
1.659,0,18.045,0,0.482,0,103,0
1.68,0,16.845,0,0.489,0,103,0
1.701,0,16.205,0,0.495,0,104,0
1.722,0,14.956,0,0.499,0,103,0
1.743,0,14.298,0,0.506,0,103,0
1.764,0,13.546,0,0.51,0,102,0
1.785,0,12.217,0,0.514,0,102,0
1.806,0,11.511,0,0.518,0,102,0
1.827,0,10.347,0,0.521,0,100,0
1.848,0,8.722,0,0.523,0,98,0
1.869,0,6.937,0,0.525,0,99,0
1.89,1.582,0,-1,0.525,0,100,0
1.911,3.051,0,-1,0.525,0,103,0
1.932,5.988,0,-1,0.525,0,104,0
1.953,6.327,0,-1,0.525,0,105,0
1.974,6.666,0,-1,0.525,0,104,0
1.995,6.101,0,-1,0.525,0,102,0
2.016,5.988,0,-1,0.525,0,100,0
2.037,5.875,0,-1,0.525,0,100,0
2.058,6.44,0,-1,0.525,0,101,0
2.079,20.337,6.071,-1,0.527,0,101,0
2.1,36.268,5.522,164,0.531,69,103,0
2.121,40.449,10.164,338,0.533,32,105,0
2.142,27.455,12.947,292,0.54,0,108,0
2.163,26.212,16.329,352,0.544,44,110,0
2.184,14.914,19.922,244,0.553,57,110,0
2.205,0.113,21.94,2,0.559,0,112,0
2.226,6.214,20.218,103,0.567,133,114,0
2.247,9.039,20.524,152,0.574,72,115,0
2.268,10.282,20.781,175,0.58,70,116,0
2.289,10.508,21.406,185,0.589,73,117,0
2.31,7.005,22.267,128,0.597,74,117,0
2.331,6.553,22.267,120,0.604,75,117,0
2.352,5.197,22.367,95,0.612,73,118,0
2.373,7.118,22.673,133,0.621,75,117,0
2.394,7.118,22.881,134,0.629,78,118,0
2.415,8.7,23.31,167,0.635,78,117,0
2.436,12.767,23.983,251,0.644,82,117,0
2.457,7.796,24.737,158,0.655,78,118,0
2.478,6.666,25.154,138,0.663,95,119,0
2.499,7.457,25.282,155,0.672,102,120,0
2.52,7.118,25.541,149,0.68,76,122,0
2.541,6.553,25.717,138,0.688,75,123,0
