Minutes, Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID
0.021,0,0,-1,0,0,97,0
0.042,0,0,-1,0,0,97,0
0.063,0,0,-1,0,0,94,0
0.084,0,0,-1,0,0,93,0
0.105,0,0,-1,0,0,92,0
0.126,0,0,-1,0,0,92,0
0.147,0,0,-1,0,0,92,0
0.168,10.621,0,-1,0,0,93,0
0.189,15.253,6.023,-1,0.002,0,94,0
0.21,12.202,3.933,40,0.004,66,97,0
0.231,11.073,7.418,68,0.006,57,98,0
0.252,19.433,8.318,134,0.011,59,99,0
0.273,19.998,11.454,190,0.015,73,102,0
0.294,28.246,13.673,320,0.019,67,102,0
0.315,16.722,16.729,232,0.025,45,104,0
0.336,6.44,18.075,96,0.032,49,106,0
0.357,0.113,17.376,2,0.038,0,109,0
0.378,0,16.006,0,0.044,0,111,0
0.399,2.26,15.002,28,0.048,67,113,0
0.42,9.378,14.881,116,0.055,73,114,0
0.441,2.034,14.362,24,0.059,67,115,0
0.462,1.13,14.076,13,0.063,103,115,0
0.483,0.678,12.679,7,0.067,0,115,0
0.504,0,9.569,0,0.072,0,115,0
0.525,0,7.112,0,0.074,0,115,0
0.546,0,5.064,0,0.076,0,115,0
0.567,43.499,6.246,225,0.078,95,113,0
0.588,41.917,12.119,421,0.082,40,113,0
0.609,29.715,16.324,402,0.089,31,113,0
0.63,30.619,20.672,524,0.095,54,113,0
0.651,24.518,22.768,462,0.103,68,115,0
0.672,0.226,24.219,5,0.112,0,115,0
0.693,9.152,22.803,173,0.12,141,115,0
0.714,7.796,22.944,148,0.129,86,117,0
0.735,5.875,22.698,110,0.135,72,121,0
0.756,6.666,22.255,123,0.143,67,122,0
0.777,5.875,21.797,106,0.152,66,124,0
0.798,6.101,21.235,107,0.158,53,127,0
0.819,4.406,20.586,75,0.164,45,128,0
0.84,5.084,19.868,84,0.173,59,128,0
0.861,7.57,19.4,122,0.179,61,129,0
0.882,7.57,19.002,119,0.186,67,128,0
0.903,6.553,18.786,102,0.192,52,128,0
